VNET	NET	STA	SITE DESCRIPTION	LAT	LON	ELEV	START	END	STATUS	INSTALL	CERT
_US-REF	AK	BMR	Bremner River, AK, USA	60.97	-144.61	842.0	2004/01/01	2599/12/31	Operating		
_US-REF	AK	TNA	Tin City, AK, USA	65.56	-167.93	74.0	2004/01/01	2599/12/31	Operating		
_US-REF	AT	PMR	Palmer, Alaska	61.59	-149.13	100.0	2004/01/01	2599/12/31	Operating		
_US-REF	AT	SDPT	Sand Point, Alaska	55.35	-160.48	74.0	2004/01/01	2599/12/31	Operating		
_US-REF	AT	SMY	Shemya, Alaska	52.73	174.10	58.0	2004/01/01	2599/12/31	Operating		
_US-REF	BK	CMB	Columbia College, Columbia, CA, USA	38.03	-120.39	697.0	2004/01/01	2599/12/31	Operating		
_US-REF	BK	HUMO	Hull Mountain, OR, USA	42.61	-122.96	554.9	2004/01/01	2599/12/31	Operating		
_US-REF	BK	MCCM	Marconi Conference Center, Marshall, CA, USA	38.14	-122.88	-7.7	2006/02/03	2599/12/31	Operating		
_US-REF	BK	SAO	San Andreas Geophysical Obs., Hollister, CA, USA	36.76	-121.45	317.2	2004/01/01	2599/12/31	Operating		
_US-REF	BK	WDC	Whiskeytown Dam, Whiskeytown, CA, USA	40.58	-122.54	268.3	2004/01/01	2599/12/31	Operating		
_US-REF	CI	GMR	Granite Mountains Research Center	34.78	-115.66	1326.0	2006/04/04	2599/12/31	Operating		
_US-REF	CI	ISA	Isabella	35.66	-118.47	873.0	2004/01/01	2599/12/31	Operating		
_US-REF	CI	PASC	Art Center College of Design (GSN-affiliate)	34.17	-118.19	341.0	2006/10/05	2599/12/31	Operating		
_US-REF	ET	SWET	Sewanee,TN	35.22	-85.93	581.0	2004/01/01	2599/12/31	Operating		
_US-REF	II	KDAK	Kodiak Island, Alaska, USA	57.78	-152.58	152.0	2004/01/01	2599/12/31	Operating		
_US-REF	II	PFO	Pinon Flat, California, USA	33.61	-116.46	1280.0	2004/01/01	2006/07/12	Ended		
_US-REF	II	PFO	Pinon Flat, California, USA	33.61	-116.46	1280.0	2006/07/13	2599/12/31	Operating		
_US-REF	IM	ATTU	Attu Island, AK, USA	52.88	173.16	250.0	2004/01/01	2006/06/20	Ended		
_US-REF	IM	ATTUB	Attu Island, AK, USA	52.88	173.16	250.0	2006/06/20	2010/04/01	Ended		
_US-REF	IM	NV31	NVAR Array Site 31, Mina, NV, USA	38.43	-118.16	1509.0	2004/01/01	2599/12/31	Operating		
_US-REF	IM	PD31	PDAR Array, Pinedale, WY, USA	42.77	-109.56	2219.0	2004/01/01	2599/12/31	Operating		
_US-REF	IM	TX31	TXAR Array, Lajitas, TX, USA	29.33	-103.67	991.4	2004/01/01	2599/12/31	Operating		
_US-REF	IU	ADK	Adak, Aleutian Islands, Alaska	51.88	-176.68	130.0	2004/01/01	2599/12/31	Operating		
_US-REF	IU	ANMO	Albuquerque, New Mexico, USA	34.95	-106.46	1820.0	2004/01/01	2599/12/31	Operating		
_US-REF	IU	CCM	Cathedral Cave, Missouri, USA	38.06	-91.24	222.0	2004/01/01	2599/12/31	Operating		
_US-REF	IU	COLA	College Outpost, Alaska, USA	64.87	-147.86	200.0	2004/01/01	2599/12/31	Operating		
_US-REF	IU	COR	Corvallis, Oregon, USA	44.59	-123.30	110.0	2004/01/01	2599/12/31	Operating		
_US-REF	IU	DWPF	Disney Wilderness Preserve, Florida, USA	28.11	-81.43	30.0	2004/01/01	2599/12/31	Operating		
_US-REF	IU	HKT	Hockley, Texas	29.96	-95.84	-413.0	2004/01/01	2018/01/26	Ended		
_US-REF	IU	HKT	Hockley, Texas	29.96	-95.84	69.0	2018/01/26	2599/12/31	Operating		
_US-REF	IU	HRV	Adam Dziewonski Observatory (Oak Ridge), Massachusetts, USA	42.51	-71.56	200.0	2004/01/01	2599/12/31	Operating		
_US-REF	IU	RSSD	Black Hills, South Dakota, USA	44.12	-104.04	2090.0	2004/01/01	2599/12/31	Operating		
_US-REF	IU	SSPA	Standing Stone, Pennsylvania	40.64	-77.89	270.0	2004/01/01	2599/12/31	Operating		
_US-REF	IU	TUC	Tucson, Arizona	32.31	-110.78	910.0	2004/01/01	2599/12/31	Operating		
_US-REF	IU	WCI	Wyandotte Cave, Indiana, USA	38.23	-86.29	210.0	2004/01/01	2599/12/31	Operating		
_US-REF	IU	WVT	Waverly, Tennessee, USA	36.13	-87.83	170.0	2004/01/01	2599/12/31	Operating		
_US-REF	LB	BMN	Battle Mountain, Nevada, USA	40.43	-117.22	1594.0	2004/01/01	2599/12/31	Operating		
_US-REF	LD	PAL	Palisades, New York	41.01	-73.91	66.0	2004/01/01	2599/12/31	Operating		
_US-REF	NN	WCN	Washoe City, Nevada w84gm	39.31	-119.76	1658.0	2004/01/01	2010/05/02	Ended		
_US-REF	TA	121A	Cookes Peak, Deming, NM, USA	32.53	-107.79	1652.0	2008/02/12	2019/03/08	Ended		
_US-REF	TA	214A	Organ Pipe National Monument, Ajo, AZ, USA	31.96	-112.81	543.0	2007/05/07	2018/09/07	Ended		
_US-REF	TA	ABTX	Abilene, Hawley, TX, USA	32.62	-99.64	502.0	2009/02/12	2018/08/15	Ended		
_US-REF	TA	BGNE	Belgrade, NE, USA	41.41	-98.15	573.0	2008/10/18	2018/08/15	Ended		
_US-REF	TA	BRSD	Miller, SD, USA	44.44	-98.96	519.0	2008/10/05	2010/06/13	Ended		
_US-REF	TA	H17A	Grant Village (NPS), Yellowstone Nt. Park, WY, USA	44.40	-110.58	2400.0	2007/10/03	2018/09/04	Ended		
_US-REF	TA	K22A	Casper, WY, USA	42.65	-106.52	1686.0	2008/07/15	2018/08/15	Ended		
_US-REF	TA	KMSC	Kings Mountain, Blacksburg, SC, USA	35.14	-81.33	240.0	2008/10/13	2018/08/15	Ended		
_US-REF	TA	KSCO	Kaye Shedlock&#x27;s, Cheyenne Wells, CO, USA	39.01	-102.63	1382.0	2008/12/03	2018/08/15	Ended		
_US-REF	TA	MDND	Maddock, ND, USA	47.85	-99.60	479.0	2008/10/04	2018/08/15	Ended		
_US-REF	TA	MSTX	Muleshoe, TX, USA	33.97	-102.77	1167.0	2008/04/23	2018/08/15	Ended		
_US-REF	TA	O20A	White River City, CO, USA	40.13	-108.24	1915.0	2007/11/12	2018/08/15	Ended		
_US-REF	TA	R11A	Troy Canyon, Currant, NV, USA	38.35	-115.59	1756.0	2007/02/09	2017/03/16	Ended		
_US-REF	TA	R58B	Mineral, VA, USA	37.96	-77.88	116.0	2012/08/02	2015/04/28	Ended		
_US-REF	TA	SFIN	Lafayette, IN, USA	40.38	-87.10	165.0	2008/10/09	2018/08/15	Ended		
_US-REF	TA	SPMN	Marine on St. Croix, MN, USA	45.22	-92.80	311.0	2008/10/07	2018/08/15	Ended		
_US-REF	TA	SUSD	Miller, SD, USA	44.44	-98.96	520.0	2010/08/24	2018/08/15	Ended		
_US-REF	TA	TIGA	Tifton, GA, USA	31.44	-83.59	109.0	2009/03/16	2018/08/15	Ended		
_US-REF	TA	TUL1	Leonard, OK, USA	35.91	-95.79	256.0	2008/10/16	2017/04/25	Ended		
_US-REF	TA	W18A	Petrified Forest, AZ, USA	35.12	-109.74	1750.0	2007/05/01	2018/09/07	Ended		
_US-REF	TA	WHTX	Lake Whitney, Meridian, TX, USA	31.99	-97.46	190.0	2009/02/11	2018/08/15	Ended		
_US-REF	UO	PIN	Pine Mt., OR, USA (U0 BB CREST SMO)	43.81	-120.87	1865.0	2004/01/01	2010/09/26	Ended		
_US-REF	UO	PINE	Pine Mountain, OR, USA	43.79	-120.94	1914.0	2010/09/27	2599/12/31	Operating		
_US-REF	US	AAM	Ann Arbor, Michigan, USA	42.30	-83.66	172.0	2004/01/01	2599/12/31	Operating		
_US-REF	US	ACSO	Alum Creek State Park, Ohio, USA	40.23	-82.98	288.0	2004/01/01	2599/12/31	Operating		
_US-REF	US	AGMN	Agassiz National Wildlife Refuge, Minnesota, USA	48.30	-95.86	351.0	2006/08/12	2599/12/31	Operating		
